day,slide_number,shape_id,shape_name,shape_type,japanese,english,status,notes
day2,1,9,テキスト ボックス 8,textbox,利用者,User,approved,
day2,1,10,テキスト ボックス 9,textbox,ログインノード,Login node,approved,
day2,1,11,テキスト ボックス 10,textbox,ジョブスケジューラ,Job scheduler,approved,
day2,1,17,テキスト ボックス 16,textbox,ログイン,Login,approved,
day2,1,19,テキスト ボックス 18,textbox,計算ノード,Compute node,approved,
day2,1,26,テキスト ボックス 25,textbox,スパコン,Supercomputer,approved,
day2,1,27,テキスト ボックス 26,textbox,ジョブ,Job,approved,
day2,2,8,テキスト ボックス 7,textbox,ジョブの実行方法,How to run the job,approved,
day2,2,10,テキスト ボックス 9,textbox,ジョブの要求資源,Resources requested by the job,approved,
day2,2,17,テキスト ボックス 16,textbox,ジョブスクリプトの用意,Prepare the job script,approved,
day2,2,18,テキスト ボックス 17,textbox,ジョブの投入,Submit the job,approved,
day2,3,6,テキスト ボックス 5,textbox,大規模計算は大縄跳び,Large-scale computing is like group jump rope,approved,layout check
day2,3,7,テキスト ボックス 6,textbox,一人でもこけたら全体が失敗してしまう,"If even one person trips, the whole thing fails",approved,layout check
day2,4,11,テキスト ボックス 10,textbox,ユーザ,User,approved,
day2,4,15,テキスト ボックス 14,textbox,ログインノード,Login node,approved,
day2,4,16,テキスト ボックス 15,textbox,ファイルシステム,File system,approved,
day2,4,19,テキスト ボックス 18,textbox,インターネット,Internet,approved,
day2,4,32,テキスト ボックス 31,textbox,計算ノード,Compute node,approved,
day2,4,33,テキスト ボックス 32,textbox,計算ノード,Compute node,approved,
day2,4,34,テキスト ボックス 33,textbox,計算ノード,Compute node,approved,
day2,4,35,テキスト ボックス 34,textbox,計算ノード,Compute node,approved,
day2,4,36,テキスト ボックス 35,textbox,高速ネットワーク\n(InfiniBand等),"High-speed network\n(InfiniBand, etc.)",approved,layout check
day2,5,7,テキスト ボックス 6,textbox,グローバルファイルシステム,Global file system,approved,
day2,5,8,テキスト ボックス 7,textbox,計算ノード,Compute node,approved,
day2,5,34,テキスト ボックス 33,textbox,ここが大混雑,This becomes heavily congested,approved,
day2,6,7,テキスト ボックス 6,textbox,まず出向先近くのホテルに行く\n(ステージイン),First go to a hotel near the assignment site\n(stage-in),approved,layout check
day2,6,10,テキスト ボックス 9,textbox,ホテル\n(ローカルファイルシステム),Hotel\n(local file system),approved,
day2,6,14,テキスト ボックス 13,textbox,自宅\n(グローバルファイルシステム),Home\n(global file system),approved,
day2,6,16,テキスト ボックス 15,textbox,出向先\n(計算ノード),Assignment site\n(compute node),approved,
day2,6,28,テキスト ボックス 27,textbox,出向中はホテルと会社の往復\n(ローカルファイルにのみアクセス),"During the assignment, travel only between the hotel and office\n(access only local files)",approved,layout check
day2,6,35,テキスト ボックス 34,textbox,出向が終わったら家に帰る\n(ステージアウト),Return home when the assignment ends\n(stage-out),approved,layout check
day2,6,36,テキスト ボックス 35,textbox,ジョブ開始時,At job start,approved,
day2,6,37,テキスト ボックス 36,textbox,ジョブ実行中,Job running,approved,
day2,6,38,テキスト ボックス 37,textbox,ジョブ終了時,At job end,approved,
day2,7,48,正方形/長方形 47,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,57,正方形/長方形 56,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,58,正方形/長方形 57,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,59,正方形/長方形 58,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,63,正方形/長方形 62,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,64,正方形/長方形 63,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,65,正方形/長方形 64,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,66,正方形/長方形 65,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,67,正方形/長方形 66,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,68,正方形/長方形 67,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,69,正方形/長方形 68,autoshape,Bさんのジョブ,User B's job,approved,
day2,7,73,テキスト ボックス 72,textbox,待ち行列,Queue,approved,
day2,7,75,テキスト ボックス 74,textbox,Aさん,User A,approved,
day2,7,77,テキスト ボックス 76,textbox,Bさん,User B,approved,
day2,7,79,テキスト ボックス 78,textbox,スタミナ,Stamina,approved,
day2,7,81,テキスト ボックス 80,textbox,スタミナ,Stamina,approved,
day2,7,89,正方形/長方形 88,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,90,正方形/長方形 89,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,91,正方形/長方形 90,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,92,正方形/長方形 91,autoshape,Aさんのジョブ\n(実行中),User A's job\n(running),approved,
day2,7,93,正方形/長方形 92,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,94,正方形/長方形 93,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,95,正方形/長方形 94,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,96,正方形/長方形 95,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,97,正方形/長方形 96,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,98,正方形/長方形 97,autoshape,Aさんのジョブ,User A's job,approved,
day2,7,99,正方形/長方形 98,autoshape,Bさんのジョブ,User B's job,approved,
day2,7,101,テキスト ボックス 100,textbox,待ち行列,Queue,approved,
day2,7,103,テキスト ボックス 102,textbox,Aさん,User A,approved,
day2,7,105,テキスト ボックス 104,textbox,Bさん,User B,approved,
day2,7,107,テキスト ボックス 106,textbox,スタミナ,Stamina,approved,
day2,7,109,テキスト ボックス 108,textbox,スタミナ,Stamina,approved,
day2,8,15,正方形/長方形 14,autoshape,1ノードジョブ\n(実行中),1-node job\n(running),approved,
day2,8,18,テキスト ボックス 17,textbox,現在時刻,Current time,approved,
day2,8,20,テキスト ボックス 19,textbox,終了予定時刻,Estimated end time,approved,
day2,8,22,正方形/長方形 21,autoshape,4ノードジョブ,4-node job,approved,
day2,8,23,正方形/長方形 22,autoshape,短い\n2ノードジョブ,Short\n2-node job,approved,
day2,8,24,テキスト ボックス 23,textbox,空き資源,Free resources,approved,
